sam_th,energy,polarization,scan,q,R,R_err
1.0,284.0,100.0,1.0,0.00502362466263022,0.7614163050280908,0.7641944641784085
1.0,284.2,100.0,2.0,0.005027162426477143,0.7401554944844806,0.7435230318687321
1.0,284.6,100.0,3.0,0.005034237954170988,0.5596458895664941,0.5658795901442485
1.0,285.0,100.0,4.0,0.005041313481864833,0.5550773309251998,0.5617915500231812
1.0,285.5,100.0,10.0,0.00505015789148214,0.3370372347130319,0.34458805898139605
1.0,286.0,100.0,5.0,0.005059002301099447,0.6790434953510133,0.6830528998847217
1.0,286.5,100.0,6.0,0.005067846710716754,0.5307290539627214,0.5370805296657999
1.0,287.0,100.0,7.0,0.005076691120334061,0.5076286912139338,0.514093548001115
1.0,287.7,100.0,8.0,0.00508907329379829,0.39701203182450273,0.4047812288878951
1.0,288.6,100.0,9.0,0.005104993231109442,0.2928135734446624,0.30023148476877126
1.06,288.6,100.0,9.0,0.0054112588678447366,0.39538963345566924,0.40540612690213973
1.062,284.0,100.0,1.0,0.005335054763226825,0.7307741544544847,0.7334405104158775
1.062,284.2,100.0,2.0,0.0053388118440459995,0.6276382431199428,0.6304938528711944
1.062,284.6,100.0,3.0,0.005346326005684348,0.5980360271964849,0.6046973421417986
1.062,285.0,100.0,4.0,0.005353840167322695,0.6824887748556767,0.6907441636294462
1.062,285.5,100.0,10.0,0.005363232869370629,0.4127512624871821,0.4219983483536437
1.062,286.0,100.0,5.0,0.005372625571418564,0.7132201849217802,0.7174313853272558
1.062,286.5,100.0,6.0,0.005382018273466498,0.653872103877238,0.6616972884034819
1.062,287.0,100.0,7.0,0.005391410975514433,0.5251141962161748,0.531801737984815
1.062,287.7,100.0,8.0,0.005404560758381542,0.3879496575719665,0.39554151146742866
1.07,250.0,100.0,0.0,0.004731724335392278,0.8236225978662125,0.8247037927338919
1.122,288.6,100.0,9.0,0.005727727121106519,0.447379434236394,0.45871299685903905
1.124,284.0,100.0,1.0,0.0056464786167450725,0.7953632105989978,0.7982652309087286
1.124,284.2,100.0,2.0,0.005650455010137146,0.6954884745040403,0.698652787213547
1.124,284.6,100.0,3.0,0.005658407796921295,0.6219814774323197,0.6289095124049803
1.124,285.0,100.0,4.0,0.005666360583705442,0.6240501987291411,0.6315987140962205
1.124,285.5,100.0,10.0,0.005676301567185627,0.5073568906760482,0.5187234767035545
1.124,286.0,100.0,5.0,0.005686242550665813,0.7532466722174177,0.7576942085582645
1.124,286.5,100.0,6.0,0.005696183534145997,0.567733753662848,0.5745280814187586
1.124,287.0,100.0,7.0,0.005706124517626182,0.5159871114107938,0.5225584160612952
1.124,287.7,100.0,8.0,0.005720041894498441,0.48687223904096455,0.4963999260292431
1.14,250.0,100.0,0.0,0.005041236799440346,0.8204927278417303,0.8215698140321883
1.182,288.6,100.0,9.0,0.006033980338990141,0.5062626355466674,0.5190878993929301
1.186,285.0,100.0,4.0,0.005978874365067527,0.6009003369965642,0.6081688314816857
1.186,285.5,100.0,10.0,0.005989363618339576,0.5821874329294813,0.5952304873594867
1.186,286.0,100.0,5.0,0.005999852871611624,0.7858865338240894,0.7905267918536077
1.186,286.5,100.0,6.0,0.006010342124883672,0.7001410316134746,0.7085199374182689
1.186,287.0,100.0,7.0,0.006020831378155721,0.5461566590147098,0.5531121850616161
1.186,287.7,100.0,8.0,0.006035516332736588,0.5090437246832096,0.5190052893057532
1.188,284.0,100.0,1.0,0.005967941461806358,0.7462365391054825,0.7489593122530064
1.188,284.2,100.0,2.0,0.005972144237483687,0.6815064279431128,0.684607125554369
1.188,284.6,100.0,3.0,0.005980549788838344,0.5850000398110872,0.591516151434781
1.212,250.0,100.0,0.0,0.005359584621922392,0.8791336000420561,0.8802876659198411
1.244,288.6,100.0,9.0,0.0063504350420243464,0.5285565708986245,0.5419466119632408
1.246,285.0,100.0,4.0,0.006281300394609739,0.6049853787287148,0.6123032859058811
1.246,285.5,100.0,10.0,0.0062923202198634405,0.6260937107868131,0.6401204208911269
1.246,286.0,100.0,5.0,0.006303340045117143,0.7101800239620377,0.7143732737719791
1.246,286.5,100.0,6.0,0.006314359870370843,0.6187192055354472,0.6261236993570016
1.246,287.0,100.0,7.0,0.006325379695624545,0.6066012572080249,0.6143265696709511
1.246,287.7,100.0,8.0,0.006340807450979726,0.5329792401770524,0.5434092030388911
1.25,284.0,100.0,1.0,0.0062793514960749405,0.7153142819699613,0.7179242299112973
1.25,284.2,100.0,2.0,0.006283773574593303,0.7080936900709723,0.7113153536141545
1.25,284.6,100.0,3.0,0.0062926177316300295,0.6226062052622907,0.629541198860588
1.282,250.0,100.0,0.0,0.005669081339663577,0.8746711272577419,0.8758193351094309
1.304,288.6,100.0,9.0,0.006656674452527498,0.5658238762532899,0.5801580182458697
1.308,285.0,100.0,4.0,0.00659380005147853,0.5947960289053522,0.6019906856390784
1.308,285.5,100.0,10.0,0.006605368121744282,0.749629515229905,0.7664238636071681
1.308,286.0,100.0,5.0,0.006616936192010034,0.7381640849544049,0.7425225663316649
1.308,286.5,100.0,6.0,0.006628504262275786,0.6194397372669802,0.6268528540191091
1.308,287.0,100.0,7.0,0.006640072332541538,0.5625160811310781,0.5696799510382387
1.308,287.7,100.0,8.0,0.00665626763091359,0.561545992251433,0.5725349828215931
1.312,284.0,100.0,1.0,0.006590754177541614,0.7330564576966343,0.7357311410363537
1.312,284.2,100.0,2.0,0.006595395553722982,0.6484808418338077,0.6514312806187921
1.312,284.6,100.0,3.0,0.006604678306085718,0.5696488845852083,0.5759940050393345
1.352,250.0,100.0,0.0,0.005978569595591258,0.8270064985994792,0.8280921356183515
1.366,288.6,100.0,9.0,0.006973114170552562,0.6221531291706486,0.6379142726446785
1.37,285.0,100.0,4.0,0.0069062919873421145,0.5897769311414668,0.5969108768351569
1.37,285.5,100.0,10.0,0.006918408289074294,0.7811193012061054,0.7986191319920322
1.37,286.0,100.0,5.0,0.006930524590806474,0.8293767949157265,0.8342738406932857
1.37,286.5,100.0,6.0,0.006942640892538652,0.6879807533327492,0.6962141315628498
1.37,287.0,100.0,7.0,0.006954757194270832,0.6005079215158267,0.608155632883133
1.37,287.7,100.0,8.0,0.006971720016695882,0.4762538324864966,0.48557372604181104
1.376,284.0,100.0,1.0,0.006912194007806618,0.692783916942752,0.695311658948456
1.376,284.2,100.0,2.0,0.006917061750065638,0.6562435461047156,0.6592293034099703
1.376,284.6,100.0,3.0,0.0069267972345836756,0.4811335257740041,0.48649270448595294
1.422,250.0,100.0,0.0,0.006288048927755471,0.847212524560712,0.8483246866550522
1.426,288.6,100.0,9.0,0.007279338385209036,0.5633625932445429,0.5776343830077241
1.432,285.0,100.0,4.0,0.007218775836288294,0.6261934891256111,0.6337679297476247
1.432,285.5,100.0,10.0,0.007231440355299327,0.7649712753647216,0.7821093333467827
1.432,286.0,100.0,5.0,0.007244104874310359,0.7733140989024322,0.7778801231340867
1.432,286.5,100.0,6.0,0.007256769393321391,0.6700283745627932,0.6780469085202495
1.432,287.0,100.0,7.0,0.007269433912332423,0.6190699875944279,0.6269540943841154
1.432,287.7,100.0,8.0,0.007287164238947868,0.54785764717911,0.5585787681588956
1.438,284.0,100.0,1.0,0.007223580622985789,0.6947220533778852,0.6972568670097631
