sam_th	R	wavelength
1.000000000000000000e+00	9.391381668639101621e-01	1.250000000000000000e+01
2.000000000000000000e+00	8.866478865699787271e-01	1.250000000000000000e+01
3.000000000000000000e+00	8.343340611897032133e-01	1.250000000000000000e+01
4.000000000000000000e+00	7.825820244342084342e-01	1.250000000000000000e+01
5.000000000000000000e+00	7.306640473134714542e-01	1.250000000000000000e+01
6.000000000000000000e+00	6.784582180623494052e-01	1.250000000000000000e+01
7.000000000000000000e+00	6.240123423369813294e-01	1.250000000000000000e+01
8.000000000000000000e+00	5.672827239589125492e-01	1.250000000000000000e+01
9.000000000000000000e+00	5.074866301294378435e-01	1.250000000000000000e+01
1.000000000000000000e+01	4.429285595878539872e-01	1.250000000000000000e+01
1.100000000000000000e+01	3.731963465616174869e-01	1.250000000000000000e+01
1.200000000000000000e+01	2.985169457011810912e-01	1.250000000000000000e+01
1.300000000000000000e+01	2.222629859034853939e-01	1.250000000000000000e+01
1.400000000000000000e+01	1.533293565723884977e-01	1.250000000000000000e+01
1.500000000000000000e+01	1.040954918375747024e-01	1.250000000000000000e+01
1.600000000000000000e+01	7.829062909908529599e-02	1.250000000000000000e+01
1.700000000000000000e+01	6.409804921748950279e-02	1.250000000000000000e+01
1.800000000000000000e+01	4.836472397913119808e-02	1.250000000000000000e+01
1.900000000000000000e+01	3.073781503990419967e-02	1.250000000000000000e+01
2.000000000000000000e+01	1.764531856201929927e-02	1.250000000000000000e+01
2.100000000000000000e+01	1.286331451607880018e-02	1.250000000000000000e+01
2.200000000000000000e+01	1.402808204433700009e-02	1.250000000000000000e+01
2.300000000000000000e+01	1.556552480835820054e-02	1.250000000000000000e+01
2.400000000000000000e+01	1.546104606642739916e-02	1.250000000000000000e+01
2.500000000000000000e+01	1.189119807190699984e-02	1.250000000000000000e+01
2.600000000000000000e+01	6.307222590685999594e-03	1.250000000000000000e+01
2.700000000000000000e+01	2.539929956631699869e-03	1.250000000000000000e+01
2.800000000000000000e+01	1.894494806237099907e-03	1.250000000000000000e+01
2.900000000000000000e+01	2.912141403635399878e-03	1.250000000000000000e+01
3.000000000000000000e+01	4.491183743467699885e-03	1.250000000000000000e+01
3.100000000000000000e+01	5.137222518553000335e-03	1.250000000000000000e+01
3.200000000000000000e+01	5.635707738099899992e-03	1.250000000000000000e+01
3.300000000000000000e+01	4.709675896249499935e-03	1.250000000000000000e+01
3.400000000000000000e+01	2.877843103897000099e-03	1.250000000000000000e+01
3.500000000000000000e+01	1.698768542214100031e-03	1.250000000000000000e+01
3.600000000000000000e+01	1.003871949141800024e-03	1.250000000000000000e+01
3.700000000000000000e+01	2.808235497904999962e-04	1.250000000000000000e+01
3.800000000000000000e+01	6.388965641418000233e-04	1.250000000000000000e+01
3.900000000000000000e+01	2.963031984049600137e-03	1.250000000000000000e+01
4.000000000000000000e+01	2.703353575459900137e-03	1.250000000000000000e+01
1.000000000000000000e+00	9.278626553299763602e-01	1.350000000000000000e+01
